label,Feed H+[M],Feed H+[M].1,PC88A[M],PC88A[M].1,Feed Ce[M],Xaq Ce,D Ce
Li (1987) Ce,0.01,0.01,1,1,0.05080080000000001,0.0305,0.6656
Li (1987) Ce,0.01,0.01,1,1,0.09999878,0.0763,0.3106
Li (1987) Ce,0.01,0.01,1,1,0.15009456,0.1232,0.2183
Li (1987) Ce,0.01,0.01,1,1,0.20000679999999998,0.1708,0.171
Li (1987) Ce,0.01,0.01,1,1,0.30001216,0.2672,0.1228
Li (1987) Ce,0.03,0.03,1,1,0.0499975,0.035,0.4285
Li (1987) Ce,0.03,0.03,1,1,0.10000115,0.0785,0.2739
Li (1987) Ce,0.03,0.03,1,1,0.1500032,0.128,0.1719
Li (1987) Ce,0.03,0.03,1,1,0.20000832,0.1752,0.1416
Li (1987) Ce,0.03,0.03,1,1,0.29999816,0.2728,0.0997
Li (1987) Ce,0.05,0.05,1,1,0.05010115,0.0355,0.4113
Li (1987) Ce,0.05,0.05,1,1,0.10000382,0.0826,0.2107
Li (1987) Ce,0.05,0.05,1,1,0.1499967,0.1305,0.1494
Li (1987) Ce,0.05,0.05,1,1,0.20000079999999998,0.17800000000000002,0.1236
Li (1987) Ce,0.07,0.07,1,1,0.05,0.04,0.25
Li (1987) Ce,0.07,0.07,1,1,0.10029675,0.0865,0.1595
Li (1987) Ce,0.07,0.07,1,1,0.15000153,0.1351,0.1103
Li (1987) Ce,0.07,0.07,1,1,0.20054418,0.1838,0.0911
Li (1987) Ce,0.07,0.07,1,1,0.29999441,0.2753,0.0897
Li (1987) Ce,0.07,0.07,1,1,0.29998992,0.2811,0.0672
