label,Feed H+[M],Feed H+[M].1,PC88A[M],PC88A[M].1,Feed Dy[M],Xaq Dy,D Dy
Li (1987) Dy,0.1,0.1,1,1,0.10000029,0.0221,3.5249
Li (1987) Dy,0.1,0.1,1,1,0.15000025,0.0575,1.6087
Li (1987) Dy,0.1,0.1,1,1,0.19999582,0.1037,0.9286
Li (1987) Dy,0.1,0.1,1,1,0.25000596,0.1494,0.6734
Li (1987) Dy,0.1,0.1,1,1,0.30000931,0.1997,0.5023
Li (1987) Dy,0.3,0.3,1,1,0.050000199999999995,0.0106,3.717
Li (1987) Dy,0.3,0.3,1,1,0.09999641,0.0409,1.4449
Li (1987) Dy,0.3,0.3,1,1,0.14999806,0.0802,0.8703
Li (1987) Dy,0.3,0.3,1,1,0.19999448,0.1252,0.5974
Li (1987) Dy,0.3,0.3,1,1,0.29999394,0.2206,0.3599
Li (1987) Dy,0.5,0.5,1,1,0.04999904,0.0221,1.2624
Li (1987) Dy,0.5,0.5,1,1,0.09999996,0.0573,0.7452
Li (1987) Dy,0.5,0.5,1,1,0.15000096,0.0984,0.5244
Li (1987) Dy,0.5,0.5,1,1,0.19999616,0.1414,0.4144
Li (1987) Dy,0.5,0.5,1,1,0.30001016,0.2369,0.2664
Li (1987) Dy,0.7,0.7,1,1,0.04799855,0.0313,0.5335
Li (1987) Dy,0.7,0.7,1,1,0.1000035,0.071,0.4085
Li (1987) Dy,0.7,0.7,1,1,0.15000453,0.1131,0.3263
Li (1987) Dy,0.7,0.7,1,1,0.19980428,0.1586,0.2598
Li (1987) Dy,0.7,0.7,1,1,0.30000123,0.2517,0.1919
