label,Feed H+[M],Feed H+[M],PC88A[M],PC88A[M],Feed Pr[M],Xaq Pr,D Pr
Lyon (2016) Pr,0.03,0.03,1,1,0.09296866,0.06556323,0.418
Lyon (2016) Pr,0.05,0.05,1,1,0.09296866,0.066835844,0.391
Lyon (2016) Pr,0.1,0.1,1,1,0.09296866,0.080076365,0.161
Lyon (2016) Pr,0.3,0.3,1,1,0.09296866,0.091957131,0.011
Lyon (2016) Pr,0.03,0.03,1,1,0.047548856,0.02373882,1.003
Lyon (2016) Pr,0.05,0.05,1,1,0.047548856,0.025646632,0.854
Lyon (2016) Pr,0.1,0.1,1,1,0.047548856,0.034988121,0.359
Lyon (2016) Pr,0.3,0.3,1,1,0.047548856,0.045371046,0.048
Lyon (2016) Pr,0.01,0.01,1,1,0.00638716,5.54E-05,114.332
Lyon (2016) Pr,0.05,0.05,1,1,0.00638716,0.000669233,8.544
Lyon (2016) Pr,0.1,0.1,1,1,0.00638716,0.002264147,1.821
Lyon (2016) Pr,0.3,0.3,1,1,0.00638716,0.006323921,0.01
Li (1987) Pr,0.01,0.01,1,1,0.04999995,0.0259,0.9305
Li (1987) Pr,0.01,0.01,1,1,0.09999925,0.0725,0.3793
Li (1987) Pr,0.01,0.01,1,1,0.20000715,0.1673,0.1955
Li (1987) Pr,0.01,0.01,1,1,0.29999192,0.2648,0.1329
Li (1987) Pr,0.03,0.03,1,1,0.05000109,0.0307,0.6287
Li (1987) Pr,0.03,0.03,1,1,0.10009624,0.0776,0.2899
Li (1987) Pr,0.03,0.03,1,1,0.20000456,0.1736,0.1521
Li (1987) Pr,0.03,0.03,1,1,0.2999997,0.273,0.0989
Li (1987) Pr,0.05,0.05,1,1,0.05002915,0.0349,0.4335
Li (1987) Pr,0.05,0.05,1,1,0.09997622,0.0809,0.2358
Li (1987) Pr,0.05,0.05,1,1,0.14999553,0.1299,0.1547
Li (1987) Pr,0.05,0.05,1,1,0.25001088,0.2272,0.1004
Li (1987) Pr,0.07,0.07,1,1,0.04999995,0.0385,0.2987
Li (1987) Pr,0.07,0.07,1,1,0.09999936,0.0864,0.1574
Li (1987) Pr,0.07,0.07,1,1,0.14998624,0.1343,0.1168
Li (1987) Pr,0.07,0.07,1,1,0.24999474,0.2334,0.0711
Li (1987) Pr,0.1,0.1,1,1,0.0499992,0.0415,0.2048
Li (1987) Pr,0.1,0.1,1,1,0.10000199,0.0901,0.1099
Li (1987) Pr,0.1,0.1,1,1,0.1999998,0.189,0.0582
Li (1987) Pr,0.1,0.1,1,1,0.30000544,0.2888,0.0388
