label,Feed H+[M],Feed H+[M].1,PC88A[M],PC88A[M].1,Feed Sm[M],Xaq Sm,D Sm
Li (1987) Sm,0.01,0.01,1,1,0.050050300000000006,0.0115,3.3522
Li (1987) Sm,0.01,0.01,1,1,0.09997919999999999,0.048,1.0829
Li (1987) Sm,0.01,0.01,1,1,0.1500016,0.0944,0.589
Li (1987) Sm,0.01,0.01,1,1,0.24999968,0.1864,0.3412
Li (1987) Sm,0.01,0.01,1,1,0.30000263,0.2371,0.2653
Li (1987) Sm,0.05,0.05,1,1,0.05032248,0.0156,2.2258
Li (1987) Sm,0.05,0.05,1,1,0.10000216,0.0556,0.7986
Li (1987) Sm,0.05,0.05,1,1,0.15000255,0.1035,0.4493
Li (1987) Sm,0.05,0.05,1,1,0.30392343,0.1997,0.5219
Li (1987) Sm,0.05,0.05,1,1,0.30000411,0.2471,0.2141
Li (1987) Sm,0.1,0.1,1,1,0.04999989,0.0219,1.2831
Li (1987) Sm,0.1,0.1,1,1,0.09999773,0.0623,0.6051
Li (1987) Sm,0.1,0.1,1,1,0.15000375,0.1105,0.3575
Li (1987) Sm,0.1,0.1,1,1,0.2500038,0.2073,0.20600000000000002
Li (1987) Sm,0.1,0.1,1,1,0.30061536,0.2572,0.1688
Li (1987) Sm,0.3,0.3,1,1,0.0502452,0.0408,0.2315
Li (1987) Sm,0.3,0.3,1,1,0.09999592,0.0842,0.1876
Li (1987) Sm,0.3,0.3,1,1,0.14999496,0.1334,0.1244
Li (1987) Sm,0.3,0.3,1,1,0.1999935,0.1814,0.1025
Li (1987) Sm,0.3,0.3,1,1,0.30001088,0.2782,0.0784
